"Date","Home","HG","HxGt","HxGp","Away","AG","AxGt","AxGp","GD","xGDt","xGDp","Final","HxPts","AxPts"
2019-09-15,"VAN",2,0.68,1.21,"HOU",1,1.64,1.66,1,-0.97,-0.44,1,0.54,2.2
2019-09-14,"CHI",4,2.2,2.21,"FCD",0,0.89,0.89,4,1.32,1.32,4,2.32,0.46
2019-09-14,"NYC",2,1.25,1.32,"SJE",1,1.56,1.56,1,-0.32,-0.24,1,1.12,1.64
2019-09-12,"COL",2,1.23,1.78,"LAG",1,1.64,1.65,1,-0.41,0.12,1,1.01,1.71
2019-09-12,"HOU",2,0.95,0.95,"MIN",0,0.83,0.83,2,0.12,0.12,2,1.47,1.23
2019-09-12,"NYC",1,0.55,0.55,"TOR",1,1.9,2.98,0,-1.35,-2.42,0,0.43,2.38
2019-09-12,"RSL",1,0.98,0.98,"SJE",0,0.66,0.66,1,0.32,0.32,1,1.6,1.03
2019-09-08,"CIN",1,0.74,1.28,"TOR",5,1.04,1.05,-4,-0.3,0.24,-4,1.07,1.57
2019-09-08,"COL",2,1.92,1.92,"SEA",0,0.46,0.46,2,1.46,1.46,2,2.43,0.36
2019-09-08,"ORL",2,1.06,1.06,"LAFC",2,1.09,1.09,0,-0.03,-0.03,0,1.3,1.33
2019-09-08,"POR",2,2.38,2.39,"SKC",1,0.48,0.48,1,1.91,1.91,1,2.76,0.15
2019-09-07,"NYC",2,3.11,3.66,"NER",1,0.46,0.46,1,2.65,3.2,1,2.81,0.13
2019-09-02,"LAFC",0,1.76,1.76,"MIN",2,0.33,0.33,-2,1.43,1.44,-2,2.45,0.37
2019-09-01,"CLB",1,1,1,"CHI",1,2.61,2.85,0,-1.62,-1.85,0,0.42,2.46
2019-09-01,"FCD",3,2.07,2.23,"CIN",1,0.48,1.02,2,1.59,1.21,2,2.52,0.29
2019-09-01,"MTL",0,1.55,1.59,"DCU",3,1.09,1.09,-3,0.47,0.5,-3,1.67,1.03
2019-09-01,"NER",1,1.35,1.35,"TOR",1,1.95,2.18,0,-0.6,-0.82,0,0.96,1.78
2019-09-01,"NYRB",0,2.1,2.1,"COL",2,1.38,1.38,-2,0.71,0.71,-2,1.9,0.88
2019-09-01,"PHI",3,1.28,1.28,"ATL",1,1.65,1.67,2,-0.37,-0.39,2,1.1,1.67
2019-09-01,"POR",1,0.89,0.89,"RSL",0,1.14,1.15,1,-0.26,-0.27,1,1.11,1.58
2019-09-01,"SEA",4,1.82,1.82,"LAG",3,1.69,1.7,1,0.14,0.13,1,1.51,1.23
2019-09-01,"SJE",3,1.87,1.87,"ORL",0,0.56,0.56,3,1.3,1.31,3,2.34,0.46
2019-09-01,"SKC",1,1.53,1.53,"HOU",0,1.07,1.07,1,0.47,0.47,1,1.81,0.89
2019-09-01,"VAN",1,1.15,1.15,"NYC",3,1.54,1.71,-2,-0.4,-0.56,-2,1.02,1.69
2019-08-29,"MTL",1,1.52,1.53,"VAN",1,2.06,2.8,0,-0.54,-1.27,1,1.03,1.74
2019-08-26,"FCD",5,2.72,3.25,"HOU",1,1.93,1.93,4,0.79,1.33,4,1.92,0.89
2019-08-26,"LAFC",3,3.17,3.24,"LAG",3,1.17,1.17,0,2,2.07,0,2.51,0.34
2019-08-25,"CIN",1,1.5,1.5,"CLB",3,1.43,1.43,-2,0.07,0.07,-2,1.38,1.29
2019-08-25,"NER",2,1.28,1.28,"CHI",1,0.5,0.5,1,0.78,0.78,1,2.1,0.64
2019-08-25,"NYC",2,1.59,2.14,"NYRB",1,0.91,0.91,1,0.68,1.24,1,1.91,0.77
2019-08-25,"PHI",3,2.09,2.09,"DCU",1,0.64,0.64,2,1.45,1.45,2,2.4,0.42
2019-08-25,"RSL",2,1.85,2.39,"COL",0,2.37,2.66,2,-0.52,-0.26,2,1.09,1.73
2019-08-25,"SJE",3,3.95,4,"VAN",1,0.14,0.14,2,3.81,3.86,2,2.96,0.02
2019-08-25,"TOR",2,1.56,1.56,"MTL",1,0.37,0.38,1,1.18,1.17,1,2.32,0.46
2019-08-24,"ORL",0,1.83,1.83,"ATL",1,1.08,1.09,-1,0.75,0.74,-1,1.91,0.88
2019-08-24,"POR",1,1.87,1.88,"SEA",2,1.64,1.64,-1,0.24,0.24,-1,1.52,1.19
2019-08-23,"SKC",1,0.96,0.96,"MIN",0,0.64,0.65,1,0.32,0.31,1,1.61,1.04
2019-08-22,"DCU",1,1.12,1.12,"NYRB",2,2.12,2.68,-1,-1,-1.56,-1,0.77,2.08
2019-08-22,"LAFC",4,2.41,2.97,"SJE",0,1.79,1.81,4,0.62,1.17,4,1.83,0.99
2019-08-22,"NYC",1,1.88,1.88,"CLB",0,1.11,1.14,1,0.77,0.74,1,1.94,0.84
2019-08-19,"POR",0,1.19,1.2,"ATL",2,2.2,2.43,-2,-1.01,-1.24,-2,0.7,2.06
