"Date","Home","HG","HxGt","HxGp","Away","AG","AxGt","AxGp","GD","xGDt","xGDp","Final","HxPts","AxPts"
2019-06-01,"MTL",0,1.07,1.07,"ORL",3,1.25,1.78,-3,-0.18,-0.72,-3,1.16,1.49
2019-06-01,"VAN",1,0.45,0.99,"TOR",1,0.55,0.55,0,-0.1,0.44,0,1.2,1.34
2019-05-30,"ATL",3,1.71,1.72,"MIN",0,1.03,1.16,3,0.68,0.56,3,1.87,0.86
2019-05-30,"DCU",3,1.16,1.16,"CHI",3,2.89,3,0,-1.73,-1.84,0,0.45,2.4
2019-05-30,"MTL",2,1.86,2.4,"RSL",1,1.09,1.09,1,0.77,1.31,1,1.97,0.77
2019-05-30,"PHI",1,3.51,3.52,"COL",1,1.11,1.11,0,2.41,2.4,0,2.64,0.27
2019-05-30,"SKC",0,0.91,0.94,"LAG",2,1.06,1.06,-2,-0.15,-0.12,-2,1.19,1.5
2019-05-27,"TOR",1,1.54,1.54,"SJE",2,1.89,1.89,-1,-0.35,-0.35,-1,1.1,1.66
2019-05-26,"CIN",0,1.31,1.31,"NYRB",2,1,1,-2,0.31,0.31,-2,1.62,1.11
2019-05-26,"COL",3,1.33,1.36,"CLB",2,1.63,1.66,1,-0.31,-0.3,1,1.12,1.62
2019-05-26,"MIN",1,1.17,1.18,"HOU",0,1.13,1.14,1,0.04,0.04,1,1.37,1.31
2019-05-26,"NER",1,1.1,1.1,"DCU",1,2.07,2.61,0,-0.97,-1.51,0,0.74,2.03
2019-05-26,"PHI",1,1.88,1.91,"POR",3,1.13,1.13,-2,0.74,0.78,-2,1.89,0.85
2019-05-26,"SKC",3,1.42,1.42,"SEA",2,1.24,1.24,1,0.18,0.18,1,1.51,1.28
2019-05-26,"VAN",2,0.63,0.63,"FCD",1,1.36,1.36,1,-0.73,-0.74,1,0.76,1.98
2019-05-25,"CHI",1,1.38,1.38,"NYC",1,0.84,0.84,0,0.54,0.54,0,1.84,0.85
2019-05-25,"LAFC",4,3.27,3.3,"MTL",1,1.18,1.71,3,2.09,1.59,2,2.56,0.33
2019-05-25,"ORL",0,1.43,1.97,"LAG",1,0.57,0.57,-1,0.85,1.39,-1,2.06,0.68
2019-05-25,"RSL",2,1.07,1.07,"ATL",1,0.74,0.74,1,0.33,0.33,1,1.62,1.05
2019-05-23,"NYRB",1,1.31,1.34,"VAN",2,1.4,1.95,-1,-0.09,-0.61,0,1.33,1.42
2019-05-20,"FCD",1,0.65,0.65,"LAFC",1,1.66,2.74,0,-1.01,-2.08,0,0.6,2.15
2019-05-20,"LAG",0,2.07,2.07,"COL",1,2.58,2.67,-1,-0.52,-0.61,-1,1.09,1.72
2019-05-19,"HOU",2,1.98,2.19,"DCU",1,1.15,1.2,1,0.83,0.99,1,1.96,0.81
2019-05-19,"MIN",1,1.61,1.61,"CLB",0,0.15,0.15,1,1.46,1.46,1,2.53,0.29
2019-05-19,"NYRB",1,0.66,0.66,"ATL",0,0.85,0.85,1,-0.19,-0.2,1,1.13,1.44
2019-05-19,"ORL",5,1.57,2.15,"CIN",1,0.65,0.65,4,0.92,1.51,4,2.08,0.67
2019-05-19,"PHI",0,1.45,1.45,"SEA",0,0.59,0.64,0,0.86,0.81,0,2.01,0.71
2019-05-19,"SKC",1,1.04,1.12,"VAN",1,0.73,0.73,0,0.31,0.39,0,1.58,1.04
2019-05-18,"MTL",0,1.09,1.09,"NER",0,0.55,0.55,0,0.54,0.54,0,1.84,0.86
2019-05-18,"RSL",3,1.54,1.55,"TOR",0,0.62,0.62,3,0.92,0.93,3,2.11,0.66
2019-05-18,"SJE",4,2.77,2.78,"CHI",1,1.49,1.49,3,1.29,1.3,3,2.21,0.56
2019-05-17,"LAFC",2,2.69,2.69,"FCD",0,0.57,0.57,2,2.12,2.12,2,2.68,0.21
2019-05-16,"HOU",1,1.79,1.81,"POR",1,1.38,1.38,0,0.42,0.43,0,1.68,1.06
2019-05-16,"SEA",2,2.03,2.03,"ORL",1,0.48,0.49,1,1.55,1.55,1,2.61,0.25
2019-05-16,"TOR",0,3.44,3.49,"DCU",0,0.16,0.16,0,3.27,3.33,0,2.93,0.04
2019-05-16,"VAN",0,0.39,0.39,"ATL",1,1.65,2.22,-1,-1.26,-1.83,-1,0.47,2.31
2019-05-13,"DCU",1,1.13,1.14,"SKC",0,0.89,0.89,1,0.24,0.26,1,1.58,1.14
2019-05-12,"ATL",1,0.89,0.89,"ORL",0,1.61,1.61,1,-0.72,-0.72,1,0.79,1.95
2019-05-12,"CHI",2,2.24,2.27,"MIN",0,0.37,0.37,2,1.87,1.89,2,2.75,0.14
2019-05-12,"CLB",0,0.43,0.43,"LAFC",3,2.04,2.13,-3,-1.6,-1.69,-3,0.34,2.47
2019-05-12,"COL",2,1.88,2.6,"RSL",3,1.99,2.6,-1,-0.11,0,-1,1.32,1.44
2019-05-12,"NER",3,1.48,2.02,"SJE",1,1.62,1.7,2,-0.14,0.32,2,1.25,1.48
2019-05-12,"SEA",1,1.26,1.26,"HOU",0,1.34,1.34,1,-0.08,-0.08,1,1.28,1.42
2019-05-11,"CIN",2,0.54,0.54,"MTL",1,1.31,1.31,1,-0.77,-0.77,1,0.71,2.04
2019-05-11,"FCD",1,1.37,1.37,"NYRB",3,0.79,0.79,-2,0.58,0.58,-2,1.81,0.89
2019-05-11,"LAG",0,1.29,1.35,"NYC",2,1.05,1.6,-2,0.23,-0.25,-2,1.54,1.19
2019-05-11,"TOR",1,1.07,1.07,"PHI",1,0.63,0.63,0,0.44,0.44,-1,1.7,0.97
2019-05-11,"VAN",1,0.91,0.93,"POR",0,1.52,1.53,1,-0.61,-0.6,1,0.9,1.83
2019-05-09,"ATL",2,1.63,1.68,"TOR",0,0.72,0.73,2,0.91,0.95,2,2.06,0.66
2019-05-09,"CHI",5,3.1,3.13,"NER",0,0.53,0.53,5,2.57,2.6,5,2.83,0.11
2019-05-09,"CLB",3,1.28,1.28,"LAG",1,0.93,0.94,2,0.35,0.34,2,1.64,1.06
2019-05-09,"NYRB",1,0.64,0.64,"MTL",2,0.85,1.4,-1,-0.2,-0.75,-1,1.14,1.49
2019-05-06,"SKC",0,0.59,0.59,"ATL",3,1.45,1.47,-3,-0.87,-0.88,-3,0.65,2.08
2019-05-05,"DCU",3,1.49,2.14,"CLB",0,0.67,0.68,3,0.81,1.46,2,1.99,0.69
2019-05-05,"LAFC",0,2.75,3.7,"CHI",0,0.99,0.99,0,1.76,2.71,0,2.49,0.38
2019-05-05,"MIN",1,0.99,1.01,"SEA",1,1.16,1.16,0,-0.18,-0.15,0,1.17,1.54
2019-05-05,"PHI",6,2.8,2.95,"NER",1,2.76,3.2,5,0.03,-0.24,5,1.42,1.37
2019-05-05,"RSL",1,1.13,1.67,"POR",2,0.43,0.45,-1,0.7,1.22,-1,1.98,0.72
2019-05-05,"SJE",1,0.58,0.58,"CIN",0,1.24,1.24,1,-0.66,-0.66,1,0.77,1.9
2019-05-04,"COL",2,1.46,2.54,"VAN",3,1.47,1.47,-1,-0.01,1.06,-1,1.32,1.41
2019-05-04,"HOU",2,1.39,1.92,"FCD",1,1.66,1.68,1,-0.27,0.25,1,1.09,1.58
2019-05-04,"MTL",0,0.49,0.49,"NYC",2,1.92,1.96,-2,-1.44,-1.47,-2,0.36,2.46
2019-05-04,"NYRB",3,2.08,2.16,"LAG",2,3.12,3.2,1,-1.04,-1.03,1,0.83,2.02
2019-05-04,"ORL",0,1.29,1.29,"TOR",2,0.88,0.88,-2,0.42,0.42,-2,1.67,1.02
2019-05-02,"PHI",2,2.31,2.39,"CIN",0,1.21,1.22,2,1.09,1.17,2,2.1,0.7
2019-04-29,"LAG",2,1.62,1.62,"RSL",1,1.33,1.35,1,0.29,0.27,1,1.62,1.09
2019-04-28,"HOU",2,2.27,2.3,"CLB",0,0.93,0.93,2,1.34,1.38,2,2.32,0.51
2019-04-28,"MIN",1,0.94,0.94,"DCU",0,0.61,0.61,1,0.33,0.33,1,1.67,0.98
2019-04-28,"MTL",1,0.78,0.78,"CHI",0,1.02,1.42,1,-0.24,-0.64,1,1.11,1.54
2019-04-28,"NYRB",1,1.03,1.03,"CIN",0,0.51,0.51,1,0.52,0.52,1,1.8,0.84
2019-04-28,"SEA",1,0.24,0.24,"LAFC",1,4.09,4.09,0,-3.85,-3.85,0,0.01,2.98
2019-04-28,"SKC",4,3.27,4.05,"NER",4,2.79,3.96,0,0.47,0.09,0,1.69,1.14
2019-04-27,"ATL",1,1.45,1.45,"COL",0,0.58,0.58,1,0.86,0.86,1,2.12,0.66
2019-04-27,"FCD",0,0.64,0.65,"SJE",0,0.91,0.95,0,-0.28,-0.3,0,1.06,1.6
2019-04-27,"NYC",1,1.26,1.29,"ORL",1,0.53,0.53,0,0.72,0.76,0,1.96,0.75
2019-04-27,"TOR",1,1.17,1.22,"POR",2,1.04,1.04,-1,0.13,0.18,-1,1.5,1.19
2019-04-27,"VAN",1,0.9,0.9,"PHI",1,0.7,0.7,0,0.2,0.2,0,1.5,1.13
2019-04-25,"CLB",0,1.28,1.29,"DCU",1,1.12,1.13,-1,0.17,0.16,-1,1.48,1.23
2019-04-25,"MIN",0,1.2,1.2,"LAG",0,0.4,0.4,0,0.8,0.8,0,2.08,0.61
2019-04-25,"NER",0,0.78,0.78,"MTL",3,2.1,2.16,-3,-1.32,-1.38,-3,0.39,2.43
2019-04-25,"NYC",1,0.94,1.47,"CHI",0,0.53,0.53,1,0.41,0.95,1,1.76,0.83
2019-04-25,"SEA",2,1.41,1.42,"SJE",2,1.55,1.55,0,-0.14,-0.13,0,1.22,1.46
2019-04-22,"LAFC",4,2.58,2.58,"SEA",1,0.3,0.3,3,2.29,2.29,3,2.8,0.13
2019-04-21,"CLB",1,1.16,1.19,"POR",3,1.35,1.36,-2,-0.19,-0.16,-2,1.2,1.51
2019-04-21,"DCU",0,0.71,0.71,"NYC",2,1,1.53,-2,-0.28,-0.82,-2,1.07,1.56
2019-04-21,"NER",1,0.73,0.73,"NYRB",0,0.91,0.91,1,-0.18,-0.18,1,1.16,1.45
2019-04-21,"SJE",4,1.99,1.99,"SKC",1,2.45,3.53,3,-0.46,-1.54,3,1.12,1.67
2019-04-20,"ATL",1,2.04,2.58,"FCD",2,0.85,0.85,-1,1.19,1.73,-1,2.25,0.57
2019-04-20,"CHI",4,2.64,2.66,"COL",1,0.89,0.89,3,1.75,1.77,3,2.55,0.32
2019-04-20,"CIN",0,1.15,1.2,"RSL",3,1.44,2.33,-3,-0.29,-1.13,-3,1.14,1.6
2019-04-20,"LAG",2,1.71,2.24,"HOU",1,1.1,1.64,1,0.61,0.61,1,1.8,0.94
2019-04-20,"ORL",1,1.43,1.45,"VAN",0,0.57,0.57,1,0.87,0.88,1,2.07,0.69
2019-04-20,"PHI",3,0.64,1.18,"MTL",0,0.46,0.46,3,0.18,0.72,3,1.54,1.07
2019-04-20,"TOR",4,2.27,2.31,"MIN",3,1.82,2.4,1,0.46,-0.09,1,1.69,1.07
2019-04-18,"VAN",1,0.72,0.72,"LAFC",0,0.86,0.87,1,-0.14,-0.14,1,1.2,1.44
2019-04-15,"SKC",2,1.57,1.58,"NYRB",2,0.94,0.94,0,0.63,0.64,0,1.83,0.9
2019-04-14,"COL",2,1.48,1.5,"DCU",3,0.77,0.77,-1,0.71,0.73,-1,1.93,0.85
2019-04-14,"FCD",2,1.35,1.88,"POR",1,1.46,1.46,1,-0.12,0.42,1,1.29,1.47
2019-04-14,"LAFC",2,1.67,1.69,"CIN",0,1.06,1.06,2,0.61,0.63,2,1.81,0.94
2019-04-14,"LAG",2,1.11,1.65,"PHI",0,0.76,0.84,2,0.35,0.81,2,1.64,1.06
2019-04-14,"NER",0,0.67,0.67,"ATL",2,2.28,2.28,-2,-1.61,-1.61,-2,0.4,2.47
2019-04-14,"RSL",2,0.69,0.69,"ORL",1,1.05,1.05,1,-0.36,-0.35,1,0.99,1.67
2019-04-13,"CHI",1,1.48,2.02,"VAN",1,0.31,0.31,0,1.17,1.71,0,2.33,0.48
2019-04-13,"HOU",2,2.23,2.81,"SJE",1,0.84,0.84,1,1.39,1.98,1,2.37,0.5
2019-04-13,"MIN",2,1.53,1.53,"NYC",3,1.26,1.3,-1,0.28,0.23,0,1.58,1.13
2019-04-13,"MTL",1,0.68,0.68,"CLB",0,0.96,0.96,1,-0.28,-0.28,1,1.05,1.59
2019-04-13,"SEA",3,1.13,1.13,"TOR",2,0.79,0.79,1,0.34,0.34,1,1.62,1.03
2019-04-10,"DCU",0,0.51,0.51,"MTL",0,0.6,0.61,0,-0.09,-0.1,0,1.26,1.36
2019-04-07,"CIN",1,1.59,2.14,"SKC",1,1.66,1.69,0,-0.07,0.46,0,1.35,1.43
2019-04-07,"CLB",1,0.58,0.58,"NER",0,1,1,1,-0.42,-0.42,1,0.84,1.81
2019-04-07,"NYRB",1,1.03,1.04,"MIN",2,0.92,0.98,-1,0.11,0.06,-1,1.45,1.25
2019-04-07,"ORL",4,2.27,2.9,"COL",3,1.33,1.33,1,0.94,1.57,1,2.07,0.78
2019-04-07,"PHI",2,1.78,2.38,"FCD",1,0.19,0.19,1,1.59,2.19,1,2.55,0.28
2019-04-07,"SEA",1,1.6,1.62,"RSL",0,1.18,1.3,1,0.42,0.32,1,1.67,1.09
2019-04-07,"SJE",3,2.57,2.62,"POR",0,0.82,1.36,3,1.75,1.26,3,2.54,0.35
2019-04-06,"DCU",0,1.29,1.31,"LAFC",4,2.23,2.91,-4,-0.93,-1.6,-4,0.8,1.99
2019-04-06,"NYC",0,0.81,0.81,"MTL",0,0.17,0.17,0,0.64,0.64,0,1.95,0.65
2019-04-06,"TOR",2,1.78,1.82,"CHI",2,1.28,1.28,0,0.5,0.53,0,1.75,1.05
2019-04-06,"VAN",0,0.95,1.49,"LAG",2,1.23,1.23,-2,-0.28,0.26,-2,1.15,1.6
2019-04-01,"LAG",2,1.69,2.76,"POR",1,0.86,0.86,1,0.83,1.9,1,2.03,0.73
2019-03-31,"COL",1,1.68,2.22,"HOU",2,1.32,1.33,-1,0.36,0.9,-3,1.6,1.14
2019-03-31,"ORL",1,1.65,1.65,"DCU",2,0.45,0.45,-1,1.2,1.2,-1,2.33,0.44
2019-03-31,"RSL",2,0.44,0.44,"FCD",4,1.59,1.59,-2,-1.14,-1.14,-2,0.44,2.31
2019-03-31,"VAN",0,1.22,1.39,"SEA",0,1.15,1.17,0,0.07,0.22,0,1.44,1.29
2019-03-30,"CHI",0,1.18,1.18,"NYRB",0,0.34,0.34,0,0.84,0.84,1,2.11,0.57
2019-03-30,"CIN",0,0.32,0.32,"PHI",2,1.57,1.57,-2,-1.25,-1.26,-2,0.42,2.36
2019-03-30,"CLB",2,1.55,2.25,"ATL",0,1.53,1.55,2,0.02,0.69,2,1.39,1.34
2019-03-30,"NER",2,2.24,2.32,"MIN",1,1.4,1.93,1,0.84,0.39,1,1.93,0.84
2019-03-30,"SJE",0,0.39,0.39,"LAFC",5,3.23,3.23,-5,-2.84,-2.84,-5,0.05,2.92
2019-03-30,"SKC",7,2.94,2.95,"MTL",1,1.09,1.09,6,1.85,1.85,6,2.53,0.34
2019-03-30,"TOR",4,2.11,2.68,"NYC",0,0.74,0.75,4,1.37,1.93,4,2.33,0.47
2019-03-24,"LAFC",2,1.23,1.24,"RSL",1,0.36,0.9,1,0.87,0.34,1,2.12,0.62
2019-03-24,"NER",0,2.02,2.04,"CIN",2,1.32,1.32,-2,0.7,0.72,-2,1.83,0.91
2019-03-23,"FCD",2,2.03,2.08,"COL",1,1.53,1.59,1,0.5,0.5,1,1.74,1.01
2019-03-23,"NYRB",0,0.62,0.62,"ORL",1,0.9,0.9,-1,-0.28,-0.28,-1,1.01,1.62
2019-03-23,"PHI",3,1.04,1.04,"CLB",0,0.76,0.76,3,0.28,0.28,3,1.51,1.05
2019-03-18,"COL",1,1.15,1.15,"SKC",1,0.74,0.74,0,0.41,0.41,0,1.68,0.95
2019-03-17,"ATL",1,1.15,1.15,"PHI",1,1.43,1.43,0,-0.28,-0.28,0,1.13,1.6
2019-03-17,"CIN",3,2.09,2.11,"POR",0,1,1.03,3,1.09,1.07,3,2.16,0.63
2019-03-17,"DCU",5,2.64,3.17,"RSL",0,0.52,0.52,5,2.12,2.66,5,2.72,0.2
2019-03-17,"LAG",3,2.21,2.75,"MIN",2,1.41,1.45,1,0.8,1.3,1,1.93,0.84
2019-03-17,"NYC",2,1.25,1.25,"LAFC",2,1.77,2.31,0,-0.52,-1.06,0,0.98,1.71
2019-03-17,"TOR",3,1.92,1.92,"NER",2,0.68,1.22,1,1.24,0.7,1,2.32,0.44
2019-03-16,"CHI",2,3.18,3.23,"SEA",4,1.8,2.35,-2,1.38,0.88,-2,2.18,0.63
2019-03-16,"CLB",1,0.88,0.89,"FCD",0,0.51,0.51,1,0.37,0.38,1,1.69,0.96
2019-03-16,"HOU",3,2.82,3.36,"VAN",2,0.58,1.11,1,2.25,2.25,1,2.71,0.19
2019-03-16,"NYRB",4,4.12,4.14,"SJE",1,0.7,0.7,3,3.42,3.44,3,2.92,0.05
2019-03-16,"ORL",1,1.41,1.41,"MTL",3,1.76,1.76,-2,-0.35,-0.35,-2,1.17,1.59
2019-03-10,"ATL",1,0.83,0.83,"CIN",1,0.6,0.6,0,0.22,0.23,0,1.5,1.08
2019-03-10,"LAFC",4,3.02,3.02,"POR",1,0.95,0.95,3,2.07,2.07,3,2.62,0.25
2019-03-10,"NYC",0,1.07,1.07,"DCU",0,0.62,0.62,0,0.46,0.46,0,1.69,0.99
2019-03-10,"SEA",2,2.28,2.42,"COL",0,0.93,0.93,2,1.35,1.49,2,2.28,0.49
2019-03-10,"SJE",0,1.13,1.13,"MIN",2,1.29,1.86,-2,-0.17,-0.73,-3,1.2,1.49
2019-03-10,"SKC",1,2.03,2.69,"PHI",0,1.6,2.15,1,0.42,0.55,2,1.65,1.08
2019-03-09,"CHI",1,0.99,0.99,"ORL",1,0.12,0.12,0,0.87,0.87,0,2.34,0.39
2019-03-09,"FCD",2,1.08,1.61,"LAG",0,1.13,1.13,2,-0.06,0.48,2,1.32,1.42
2019-03-09,"HOU",2,1.3,1.37,"MTL",1,0.35,0.35,1,0.96,1.03,1,2.26,0.46
2019-03-09,"NER",0,0.82,1.35,"CLB",2,0.74,0.74,-2,0.08,0.62,-2,1.4,1.27
2019-03-09,"RSL",1,1.01,1.55,"VAN",0,1.04,1.05,1,-0.03,0.5,1,1.36,1.4
2019-03-04,"LAFC",2,0.92,0.92,"SKC",1,1.11,1.12,1,-0.19,-0.2,1,1.14,1.57
2019-03-03,"DCU",2,1.84,1.9,"ATL",0,0.37,0.37,2,1.48,1.53,2,2.46,0.36
2019-03-03,"LAG",2,2.27,2.28,"CHI",1,1.27,1.27,1,1,1.01,1,2.1,0.71
2019-03-03,"SEA",4,2.36,2.39,"CIN",1,0.45,0.45,3,1.91,1.94,3,2.61,0.27
2019-03-03,"SJE",1,0.83,0.83,"MTL",2,1.24,1.24,-1,-0.41,-0.41,-1,1.02,1.77
2019-03-02,"CLB",1,1.39,1.39,"NYRB",1,0.8,0.8,0,0.59,0.59,0,1.88,0.85
2019-03-02,"COL",3,1.91,2.02,"POR",2,2.95,3.61,1,-1.04,-1.59,0,0.79,2.02
2019-03-02,"FCD",1,0.68,0.68,"NER",1,0.69,0.69,0,-0.01,-0.01,0,1.3,1.33
2019-03-02,"HOU",1,0.53,0.53,"RSL",1,0.59,0.59,0,-0.06,-0.06,0,1.24,1.3
2019-03-02,"ORL",2,1.53,1.56,"NYC",2,1.21,1.21,0,0.31,0.35,0,1.6,1.11
2019-03-02,"PHI",1,2.24,3.26,"TOR",3,1.15,1.68,-2,1.09,1.58,-2,2.14,0.68
2019-03-02,"VAN",2,0.89,0.89,"MIN",3,1.32,1.86,-1,-0.43,-0.97,-1,0.99,1.68
